;match_id;team_id;date_id;result;min;pts;fgm;fga;fgp;tpm;tpa;tpp;ftm;fta;ftp;oreb;dreb;reb;ast;tov;stl;blk;pf
425;11162022TOR;TOR;29;W;48;112;44;86;51.2;7;26;26.9;17;22;77.3;16;26;42;23;14;5;3;23
426;11162022MIL;MIL;29;W;48;113;41;86;47.7;16;39;41.0;15;27;55.6;13;39;52;26;14;5;6;16
427;11162022NOP;CHI;29;L;48;110;44;89;49.4;11;32;34.4;11;17;64.7;7;30;37;25;12;2;1;18
428;11162022ORL;ORL;29;L;48;108;42;93;45.2;9;35;25.7;15;17;88.2;12;35;47;21;16;6;5;26
429;11162022MIL;CLE;29;L;48;98;36;84;42.9;12;28;42.9;14;17;82.4;6;28;34;22;8;7;7;18
430;11162022ATL;ATL;29;L;48;101;42;101;41.6;7;32;21.9;10;13;76.9;14;31;45;21;9;5;5;11
431;11162022DAL;HOU;29;W;48;101;35;75;46.7;10;22;45.5;21;24;87.5;9;47;56;21;23;1;19;19
432;11162022DEN;DEN;29;L;48;103;36;82;43.9;14;38;36.8;17;20;85.0;8;34;42;18;15;3;5;25
433;11162022DEN;NYK;29;W;48;106;37;84;44.0;8;34;23.5;24;31;77.4;6;34;40;24;8;12;5;18
434;11162022CHA;CHA;29;L;48;113;43;94;45.7;12;33;36.4;15;18;83.3;14;30;44;29;18;8;4;23
435;11162022NOP;NOP;29;W;48;124;43;85;50.6;17;33;51.5;21;24;87.5;12;34;46;30;15;4;6;18
436;11162022CHA;IND;29;W;48;125;44;82;53.7;11;28;39.3;26;31;83.9;7;27;34;27;14;11;9;18
437;11162022ATL;BOS;29;W;48;126;48;88;54.5;21;46;45.7;9;10;90.0;6;43;49;29;15;4;8;20
438;11162022ORL;MIN;29;W;48;126;46;88;52.3;12;36;33.3;22;28;78.6;8;32;40;28;11;15;6;15
439;11162022PHX;PHX;29;W;48;130;44;86;51.2;21;40;52.5;21;25;84.0;8;39;47;33;16;5;8;22
440;11172022SAC;SAS;30;L;48;112;46;84;54.8;11;26;42.3;9;12;75.0;7;25;32;29;19;8;6;22
441;11172022POR;POR;30;L;48;107;36;93;38.7;13;36;36.1;22;27;81.5;8;31;39;22;10;9;5;22
442;11172022LAC;DET;30;L;48;91;33;88;37.5;6;31;19.4;19;24;79.2;10;33;43;15;13;9;7;26
443;11172022SAC;SAC;30;W;48;130;48;83;57.8;12;30;40.0;22;24;91.7;6;31;37;28;12;7;1;15
444;11172022POR;BKN;30;W;48;109;40;79;50.6;11;29;37.9;18;23;78.3;5;42;47;32;17;4;5;24
445;11172022LAC;LAC;30;W;48;96;33;81;40.7;11;30;36.7;19;24;79.2;10;41;51;17;18;1;1;21
446;11182022PHI;MIL;31;L;48;102;41;90;45.6;12;36;33.3;8;21;38.1;8;34;42;22;13;8;7;18
