match_id;date_id;away_team;away_pts;home_pts;home_team
11212022CHI;34;BOS;107;121;CHI
11212022CLE;34;ATL;102;114;CLE
11212022IND;34;ORL;102;123;IND
11212022LAC;34;UTA;121;114;LAC
11212022MIL;34;POR;111;119;MIL
11212022MIN;34;MIA;105;101;MIN
11212022NOP;34;GSW;83;128;NOP
11212022OKC;34;NYK;129;119;OKC
11222022PHX;35;LAL;115;105;PHX
11222022DEN;35;DET;108;110;DEN
11222022MEM;35;SAC;109;113;MEM
11222022PHI;35;BKN;106;115;PHI
11232022BOS;36;DAL;112;125;BOS
11232022CHA;36;PHI;107;101;CHA
11232022CLE;36;POR;96;114;CLE
11232022GSW;36;LAC;124;107;GSW
11232022IND;36;MIN;101;115;IND
11232022MIA;36;WAS;105;113;MIA
11232022MIL;36;CHI;113;118;MIL
11232022OKC;36;DEN;126;131;OKC
11232022SAS;36;NOP;110;129;SAS
11232022TOR;36;BKN;98;112;TOR
11232022UTA;36;DET;125;116;UTA
11232022ATL;36;SAC;106;115;ATL
11252022BOS;37;SAC;122;104;BOS
11252022CHA;37;MIN;108;110;CHA
11252022HOU;37;ATL;122;128;HOU
11252022GSW;37;UTA;118;129;GSW
11252022SAS;37;LAL;105;94;SAS
11252022PHX;37;DET;102;108;PHX
11252022ORL;37;PHI;99;107;ORL
11252022OKC;37;CHI;119;123;OKC
11252022LAC;37;DEN;104;114;LAC
11252022MIL;37;CLE;117;102;MIL
11252022MIA;37;WAS;107;110;MIA
11252022MEM;37;NOP;132;111;MEM
11252022NYK;37;POR;129;132;NYK
11252022IND;37;BKN;117;128;IND
11262022HOU;38;OKC;118;105;HOU
11262022PHX;38;UTA;113;112;PHX
11262022SAS;38;LAL;138;143;SAS
11262022TOR;38;DAL;100;105;TOR
11272022ORL;39;PHI;103;133;ORL
11272022NYK;39;MEM;127;123;NYK
11272022MIN;39;GSW;114;137;MIN
11272022DET;39;CLE;94;102;DET
11272022LAC;39;IND;100;114;LAC
11272022BOS;39;WAS;130;121;BOS
11272022BKN;39;POR;97;111;BKN
11272022ATL;39;MIA;98;106;ATL
11272022MIL;39;DAL;115;124;MIL
11282022TOR;40;CLE;100;88;TOR
11282022WAS;40;MIN;142;127;WAS
11282022UTA;40;CHI;114;107;UTA
11282022SAC;40;PHX;122;117;SAC
11282022BOS;40;CHA;105;140;BOS
11282022NOP;40;OKC;101;105;NOP
11282022LAL;40;IND;116;115;LAL
11282022DEN;40;HOU;129;113;DEN
11282022BKN;40;ORL;109;102;BKN
11282022PHI;40;ATL;101;104;PHI
11292022DAL;41;GSW;113;116;DAL
11292022DET;41;NYK;110;140;DET
11292022POR;41;LAC;118;112;POR
11302022ORL;42;ATL;125;108;ORL
11302022UTA;42;LAC;112;125;UTA
11302022SAC;42;IND;137;114;SAC
11302022PHX;42;CHI;132;113;PHX
