;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;+/-
443;NOP @ GSW;03/03/2023;L;48;99;34;77;44.2;10;29;34.5;21;27;77.8;7;22;29;20;13;9;4;22;-9
444;LAC @ SAC;03/03/2023;L;48;127;47;87;54.0;14;41;34.1;19;27;70.4;6;26;32;31;7;7;3;24;-1
445;POR @ ATL;03/03/2023;L;48;111;41;87;47.1;13;39;33.3;16;20;80.0;9;25;34;22;18;11;7;15;-18
446;MEM @ DEN;03/03/2023;L;48;97;31;84;36.9;11;32;34.4;24;31;77.4;10;30;40;24;11;6;6;24;-16
447;BKN @ BOS;03/03/2023;W;48;115;40;95;42.1;14;44;31.8;21;26;80.8;13;34;47;25;13;9;6;20;10
448;CHA vs. ORL;03/03/2023;L;48;106;38;78;48.7;9;24;37.5;21;25;84.0;8;26;34;25;21;11;4;20;-11
449;LAL vs. MIN;03/03/2023;L;48;102;36;87;41.4;10;31;32.3;20;24;83.3;11;30;41;23;15;8;2;19;-8
450;ATL vs. POR;03/03/2023;W;48;129;52;91;57.1;12;26;46.2;13;16;81.3;10;33;43;30;17;10;5;19;18
451;PHX @ CHI;03/03/2023;W;48;125;42;84;50.0;20;47;42.6;21;25;84.0;13;28;41;29;11;6;7;20;21
452;UTA @ OKC;03/03/2023;L;48;103;38;78;48.7;9;29;31.0;18;23;78.3;10;38;48;24;26;5;14;18;-27
453;DEN vs. MEM;03/03/2023;W;48;113;40;87;46.0;8;31;25.8;25;31;80.6;13;40;53;28;10;6;5;21;16
454;GSW vs. NOP;03/03/2023;W;48;108;40;78;51.3;10;31;32.3;18;20;90.0;9;34;43;28;18;7;4;22;9
455;MIN @ LAL;03/03/2023;W;48;110;42;89;47.2;14;34;41.2;12;16;75.0;10;36;46;29;14;10;6;21;8
456;NYK @ MIA;03/03/2023;W;48;122;47;81;58.0;17;41;41.5;11;17;64.7;6;28;34;23;12;8;4;23;2
457;BOS vs. BKN;03/03/2023;L;48;105;41;84;48.8;9;29;31.0;14;20;70.0;9;39;48;26;19;8;8;19;-10
458;MIA vs. NYK;03/03/2023;L;48;120;39;81;48.1;12;25;48.0;30;32;93.8;11;28;39;23;12;7;2;17;-2
459;OKC vs. UTA;03/03/2023;W;48;130;52;104;50.0;17;43;39.5;9;14;64.3;11;29;40;31;7;12;5;22;27
460;SAC vs. LAC;03/03/2023;W;48;128;46;87;52.9;10;33;30.3;26;26;100;9;36;45;26;11;3;2;22;1
461;ORL @ CHA;03/03/2023;W;48;117;46;86;53.5;10;26;38.5;15;19;78.9;13;29;42;21;20;9;4;24;11
462;SAS vs. IND;03/02/2023;W;48;110;45;98;45.9;10;32;31.3;10;13;76.9;13;37;50;31;17;5;6;14;11
463;LAC @ GSW;03/02/2023;L;48;91;32;89;36.0;9;43;20.9;18;21;85.7;9;38;47;19;16;5;5;24;-24
464;TOR @ WAS;03/02/2023;L;48;108;41;92;44.6;9;33;27.3;17;17;100;13;30;43;28;14;8;7;21;-11
465;GSW vs. LAC;03/02/2023;W;48;115;39;93;41.9;14;46;30.4;23;27;85.2;15;45;60;25;12;9;6;20;24
466;IND @ SAS;03/02/2023;L;48;99;41;90;45.6;8;23;34.8;9;11;81.8;6;34;40;23;14;11;8;18;-11
467;PHI @ DAL;03/02/2023;L;48;126;45;78;57.7;12;27;44.4;24;29;82.8;5;32;37;28;14;9;1;24;-7
468;WAS vs. TOR;03/02/2023;W;48;119;43;84;51.2;14;30;46.7;19;24;79.2;9;34;43;30;15;5;4;12;11
469;DAL vs. PHI;03/02/2023;W;48;133;45;82;54.9;25;48;52.1;18;27;66.7;5;26;31;26;13;8;1;22;7
470;CLE @ BOS;03/01/2023;L;48;113;45;92;48.9;10;32;31.3;13;21;61.9;10;28;38;21;7;8;3;18;-4
471;MIL vs. ORL;03/01/2023;W;48;139;49;94;52.1;26;56;46.4;15;19;78.9;8;38;46;29;8;4;1;23;22
472;CHI @ DET;03/01/2023;W;48;117;41;85;48.2;12;27;44.4;23;31;74.2;10;30;40;27;15;9;4;22;2
473;OKC vs. LAL;03/01/2023;L;48;117;44;91;48.4;11;40;27.5;18;24;75.0;12;30;42;29;13;8;4;27;-6
474;PHI @ MIA;03/01/2023;W;48;119;41;83;49.4;15;39;38.5;22;22;100;9;32;41;25;9;6;5;20;23
475;POR vs. NOP;03/01/2023;L;48;110;36;81;44.4;11;38;28.9;27;29;93.1;12;29;41;18;14;5;8;18;-11
476;DET vs. CHI;03/01/2023;L;48;115;39;78;50.0;14;35;40.0;23;28;82.1;7;33;40;23;17;8;2;23;-2
477;HOU vs. MEM;03/01/2023;L;48;99;36;90;40.0;11;34;32.4;16;25;64.0;17;32;49;17;13;4;5;18;-14
478;BKN @ NYK;03/01/2023;L;48;118;42;90;46.7;15;39;38.5;19;20;95.0;5;26;31;26;14;6;5;21;-24
479;MEM @ HOU;03/01/2023;W;48;113;40;83;48.2;17;41;41.5;16;19;84.2;8;36;44;27;8;6;9;21;14
480;PHX @ CHA;03/01/2023;W;48;105;42;89;47.2;9;25;36.0;12;15;80.0;5;43;48;30;13;8;9;22;14
481;MIA vs. PHI;03/01/2023;L;48;96;34;78;43.6;7;29;24.1;21;23;91.3;5;28;33;18;13;3;2;17;-23
482;BOS vs. CLE;03/01/2023;W;48;117;39;78;50.0;16;32;50.0;23;28;82.1;7;36;43;27;13;5;4;18;4
