;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;+/-
1776;TOR vs. DAL;11/26/2022;W;48;105;38;88;43.2;8;26;30.8;21;26;80.8;17;31;48;20;13;10;2;21;5
1777;SAS vs. LAL;11/26/2022;L;48;138;53;105;50.5;18;37;48.6;14;20;70.0;17;30;47;33;10;8;5;32;-5
1778;LAL @ SAS;11/26/2022;W;48;143;47;81;58.0;17;33;51.5;32;37;86.5;3;36;39;25;17;4;7;20;5
1779;OKC @ HOU;11/26/2022;L;48;105;38;97;39.2;10;44;22.7;19;23;82.6;16;25;41;19;15;12;3;15;-13
1780;DET @ PHX;11/25/2022;L;48;102;39;92;42.4;9;26;34.6;15;16;93.8;19;30;49;21;19;6;3;22;-6
1781;ATL @ HOU;11/25/2022;L;48;122;39;82;47.6;15;39;38.5;29;36;80.6;6;22;28;14;14;9;6;26;-6
1782;MEM vs. NOP;11/25/2022;W;48;132;47;91;51.6;18;38;47.4;20;27;74.1;13;33;46;26;14;4;4;20;21
1783;BKN @ IND;11/25/2022;L;48;117;47;88;53.4;15;41;36.6;8;10;80.0;5;33;38;27;19;2;8;28;-11
1784;UTA @ GSW;11/25/2022;L;48;118;46;97;47.4;11;45;24.4;15;17;88.2;15;27;42;28;13;12;6;15;-11
1785;MIL vs. CLE;11/25/2022;W;48;117;42;83;50.6;15;32;46.9;18;25;72.0;8;35;43;27;13;4;9;22;15
1786;CHI @ OKC;11/25/2022;L;53;119;44;101;43.6;12;33;36.4;19;23;82.6;14;33;47;25;15;5;4;24;-4
1787;NYK vs. POR;11/25/2022;L;53;129;46;105;43.8;13;41;31.7;24;28;85.7;12;32;44;27;10;7;5;35;-3
1788;WAS @ MIA;11/25/2022;L;48;107;40;93;43.0;11;39;28.2;16;20;80.0;13;32;45;27;12;7;9;18;-3
1789;BOS vs. SAC;11/25/2022;W;48;122;41;83;49.4;16;37;43.2;24;27;88.9;4;34;38;27;10;9;6;24;18
1790;ORL vs. PHI;11/25/2022;L;48;99;34;80;42.5;9;35;25.7;22;27;81.5;9;26;35;20;14;7;6;15;-8
1791;MIN @ CHA;11/25/2022;L;48;108;41;96;42.7;9;41;22.0;17;18;94.4;11;34;45;24;16;7;9;27;-2
1792;LAC vs. DEN;11/25/2022;L;48;104;37;68;54.4;11;22;50.0;19;34;55.9;4;29;33;22;14;1;5;20;-10
1793;LAL @ SAS;11/25/2022;W;48;105;40;83;48.2;8;27;29.6;17;20;85.0;10;39;49;28;22;12;5;16;11
1794;IND vs. BKN;11/25/2022;W;48;128;43;86;50.0;12;34;35.3;30;38;78.9;5;36;41;28;10;13;4;11;11
1795;NOP @ MEM;11/25/2022;L;48;111;37;86;43.0;10;31;32.3;27;31;87.1;11;30;41;26;13;9;4;22;-21
1796;SAC @ BOS;11/25/2022;L;48;104;36;87;41.4;9;36;25.0;23;26;88.5;11;34;45;20;18;3;4;22;-18
1797;PHX vs. DET;11/25/2022;W;48;108;42;87;48.3;7;29;24.1;17;26;65.4;11;32;43;25;13;7;7;18;6
1798;GSW vs. UTA;11/25/2022;W;48;129;52;101;51.5;20;45;44.4;5;6;83.3;16;33;49;33;21;8;3;15;11
1799;OKC vs. CHI;11/25/2022;W;53;123;44;95;46.3;7;29;24.1;28;32;87.5;10;40;50;24;13;7;5;21;4
1800;MIA vs. WAS;11/25/2022;W;48;110;42;89;47.2;7;26;26.9;19;23;82.6;10;37;47;24;13;5;5;19;3
1801;POR @ NYK;11/25/2022;W;53;132;42;85;49.4;10;32;31.3;38;51;74.5;13;35;48;24;13;3;3;24;3
1802;SAS vs. LAL;11/25/2022;L;48;94;38;100;38.0;6;33;18.2;12;16;75.0;20;30;50;21;16;11;3;18;-11
1803;HOU vs. ATL;11/25/2022;W;48;128;41;87;47.1;12;35;34.3;34;41;82.9;22;37;59;25;22;9;4;29;6
1804;DEN @ LAC;11/25/2022;W;48;114;44;89;49.4;10;30;33.3;16;23;69.6;10;27;37;27;6;9;5;24;10
1805;PHI @ ORL;11/25/2022;W;48;107;39;82;47.6;14;36;38.9;15;18;83.3;13;34;47;25;16;7;1;19;8
1806;CHA vs. MIN;11/25/2022;W;48;110;40;89;44.9;8;25;32.0;22;32;68.8;15;40;55;24;18;6;4;18;2
1807;CLE @ MIL;11/25/2022;L;48;102;34;87;39.1;12;33;36.4;22;26;84.6;10;31;41;12;9;9;2;17;-15
1808;CHA vs. PHI;11/23/2022;W;48;107;44;92;47.8;6;23;26.1;13;21;61.9;11;33;44;25;16;8;1;15;6
1809;MIL vs. CHI;11/23/2022;L;48;113;41;90;45.6;12;38;31.6;19;25;76.0;11;37;48;24;20;5;3;17;-5
1810;SAS vs. NOP;11/23/2022;L;48;110;41;85;48.2;10;34;29.4;18;28;64.3;8;29;37;31;20;11;1;23;-19
1811;POR @ CLE;11/23/2022;L;48;96;35;78;44.9;13;31;41.9;13;13;100;11;21;32;28;17;9;4;24;-18
1812;OKC vs. DEN;11/23/2022;L;53;126;42;97;43.3;18;40;45.0;24;28;85.7;12;27;39;26;10;6;7;27;-5
1813;SAC @ ATL;11/23/2022;L;48;106;41;89;46.1;9;31;29.0;15;21;71.4;10;38;48;27;19;6;2;23;-9
1814;WAS @ MIA;11/23/2022;L;48;105;42;89;47.2;10;38;26.3;11;19;57.9;7;36;43;27;14;7;5;20;-8
1815;ATL vs. SAC;11/23/2022;W;48;115;41;92;44.6;11;30;36.7;22;23;95.7;10;37;47;23;13;9;6;20;9
1816;DAL @ BOS;11/23/2022;L;48;112;44;82;53.7;11;31;35.5;13;21;61.9;5;30;35;20;14;4;3;23;-13
1817;DET @ UTA;11/23/2022;W;48;125;44;89;49.4;12;24;50.0;25;27;92.6;8;30;38;24;7;9;2;20;9
1818;NOP @ SAS;11/23/2022;W;48;129;47;82;57.3;14;33;42.4;21;30;70.0;8;34;42;33;21;8;5;22;19
1819;TOR vs. BKN;11/23/2022;L;48;98;36;101;35.6;7;29;24.1;19;25;76.0;23;29;52;16;14;12;2;13;-14
1820;MIA vs. WAS;11/23/2022;W;48;113;39;93;41.9;16;41;39.0;19;22;86.4;14;39;53;20;13;7;5;18;8
1821;CHI @ MIL;11/23/2022;W;48;118;43;87;49.4;18;42;42.9;14;18;77.8;5;30;35;30;13;9;12;20;5
1822;CLE vs. POR;11/23/2022;W;48;114;41;74;55.4;12;27;44.4;20;23;87.0;11;28;39;22;17;4;4;14;18
1823;DEN @ OKC;11/23/2022;W;53;131;42;88;47.7;14;38;36.8;33;41;80.5;17;38;55;31;19;4;8;24;5
1824;PHI @ CHA;11/23/2022;L;48;101;38;86;44.2;9;38;23.7;16;18;88.9;8;37;45;20;19;9;3;23;-6
1825;IND vs. MIN;11/23/2022;L;48;101;37;96;38.5;16;44;36.4;11;16;68.8;13;17;30;25;13;16;5;16;-14
1826;GSW vs. LAC;11/23/2022;W;48;124;48;97;49.5;19;51;37.3;9;13;69.2;12;33;45;36;13;11;6;25;17
1827;UTA vs. DET;11/23/2022;L;48;116;41;83;49.4;18;41;43.9;16;19;84.2;7;31;38;31;16;4;7;21;-9
1828;LAC @ GSW;11/23/2022;L;48;107;39;87;44.8;11;28;39.3;18;27;66.7;10;33;43;22;17;5;2;13;-17
1829;BOS vs. DAL;11/23/2022;W;48;125;45;84;53.6;17;34;50.0;18;21;85.7;6;32;38;29;12;4;4;22;13
1830;MIN @ IND;11/23/2022;W;48;115;47;77;61.0;8;22;36.4;13;17;76.5;8;42;50;31;23;9;10;18;14
1831;BKN @ TOR;11/23/2022;W;48;112;45;82;54.9;17;38;44.7;5;7;71.4;7;32;39;32;21;10;11;24;14
1832;BKN @ PHI;11/22/2022;L;48;106;44;80;55.0;9;28;32.1;9;13;69.2;4;31;35;31;15;5;13;15;-9
1833;MEM vs. SAC;11/22/2022;L;48;109;41;91;45.1;8;30;26.7;19;30;63.3;13;36;49;26;18;12;10;23;-4
1834;PHI vs. BKN;11/22/2022;W;48;115;43;99;43.4;16;32;50.0;13;16;81.3;20;29;49;19;10;9;4;12;9
1835;PHX vs. LAL;11/22/2022;W;48;115;48;102;47.1;16;34;47.1;3;5;60.0;8;41;49;23;15;8;7;22;10
1836;DEN vs. DET;11/22/2022;L;48;108;43;86;50.0;5;19;26.3;17;26;65.4;15;27;42;28;18;7;8;21;-2
1837;SAC @ MEM;11/22/2022;W;48;113;39;90;43.3;15;45;33.3;20;27;74.1;9;36;45;27;20;11;2;25;4
1838;LAL @ PHX;11/22/2022;L;48;105;36;85;42.4;4;22;18.2;29;35;82.9;7;38;45;19;17;8;7;12;-10
1839;DET @ DEN;11/22/2022;W;48;110;45;88;51.1;8;28;28.6;12;14;85.7;12;28;40;27;16;7;5;24;2
1840;ORL @ IND;11/21/2022;L;48;102;36;85;42.4;11;35;31.4;19;25;76.0;12;26;38;20;17;10;2;25;-21
1841;BOS @ CHI;11/21/2022;L;48;107;38;87;43.7;19;50;38.0;12;17;70.6;5;33;38;28;15;3;4;18;-14
1842;ATL @ CLE;11/21/2022;L;48;102;38;87;43.7;11;34;32.4;15;17;88.2;10;25;35;24;17;11;3;21;-12
1843;GSW @ NOP;11/21/2022;L;48;83;28;74;37.8;10;43;23.3;17;19;89.5;4;30;34;17;27;9;5;20;-45
1844;MIN vs. MIA;11/21/2022;W;48;105;37;85;43.5;14;47;29.8;17;20;85.0;6;34;40;30;18;9;6;25;4
1845;POR @ MIL;11/21/2022;L;48;111;44;93;47.3;8;29;27.6;15;19;78.9;12;28;40;19;16;5;3;17;-8
1846;LAC vs. UTA;11/21/2022;W;48;121;47;91;51.6;9;24;37.5;18;19;94.7;12;29;41;26;16;6;6;20;7
1847;UTA @ LAC;11/21/2022;L;48;114;40;89;44.9;12;38;31.6;22;24;91.7;16;29;45;22;17;8;5;18;-7
1848;MIL vs. POR;11/21/2022;W;48;119;47;86;54.7;9;28;32.1;16;25;64.0;10;32;42;31;14;12;8;17;8
1849;IND vs. ORL;11/21/2022;W;48;123;43;86;50.0;13;46;28.3;24;27;88.9;12;36;48;32;21;9;5;23;21
1850;NYK @ OKC;11/21/2022;W;48;129;51;97;52.6;11;34;32.4;16;20;80.0;14;34;48;21;15;10;2;28;10
1851;MIA @ MIN;11/21/2022;L;48;101;35;90;38.9;11;38;28.9;20;30;66.7;12;34;46;26;15;9;5;20;-4
1852;NOP vs. GSW;11/21/2022;W;48;128;49;91;53.8;15;42;35.7;15;21;71.4;11;39;50;30;14;15;5;16;45
1853;CLE vs. ATL;11/21/2022;W;48;114;42;70;60.0;10;19;52.6;20;23;87.0;3;34;37;24;20;8;3;17;12
1854;OKC vs. NYK;11/21/2022;L;48;119;43;88;48.9;8;24;33.3;25;32;78.1;11;27;38;25;14;5;5;18;-10
1855;CHI vs. BOS;11/21/2022;W;48;121;46;89;51.7;14;29;48.3;15;20;75.0;8;43;51;26;15;10;1;19;14
1856;WAS vs. CHA;11/20/2022;W;48;106;40;93;43.0;13;34;38.2;13;18;72.2;14;35;49;19;17;6;13;19;4
1857;CLE vs. MIA;11/20/2022;W;48;113;44;83;53.0;13;37;35.1;12;16;75.0;13;36;49;31;20;7;1;23;26
1858;DEN @ DAL;11/20/2022;W;48;98;37;78;47.4;9;27;33.3;15;19;78.9;4;40;44;22;16;10;5;20;1
1859;GSW @ HOU;11/20/2022;W;48;127;46;86;53.5;24;47;51.1;11;15;73.3;8;32;40;38;17;8;5;22;7
1860;MIA @ CLE;11/20/2022;L;48;87;31;80;38.8;6;31;19.4;19;22;86.4;11;19;30;17;16;6;3;16;-26
1861;LAL vs. SAS;11/20/2022;W;48;123;45;85;52.9;12;34;35.3;21;24;87.5;5;49;54;29;15;5;2;10;31
1862;DET @ SAC;11/20/2022;L;48;129;47;89;52.8;15;29;51.7;20;23;87.0;10;25;35;20;12;4;3;24;-8
1863;SAC vs. DET;11/20/2022;W;48;137;47;85;55.3;12;35;34.3;31;35;88.6;8;33;41;29;11;4;0;18;8
1864;DAL vs. DEN;11/20/2022;L;48;97;35;78;44.9;15;42;35.7;12;21;57.1;6;30;36;24;13;5;3;18;-1
1865;MEM @ BKN;11/20/2022;L;48;115;43;99;43.4;12;37;32.4;17;31;54.8;13;31;44;28;10;13;0;12;-12
1866;PHX vs. NYK;11/20/2022;W;48;116;43;101;42.6;17;39;43.6;13;18;72.2;22;38;60;35;13;3;8;22;21
1867;SAS @ LAL;11/20/2022;L;48;92;41;105;39.0;7;34;20.6;3;10;30.0;13;31;44;26;10;7;2;17;-31
1868;NYK @ PHX;11/20/2022;L;48;95;34;85;40.0;7;25;28.0;20;25;80.0;10;29;39;20;11;4;7;15;-21
1869;BKN vs. MEM;11/20/2022;W;48;127;50;83;60.2;16;34;47.1;11;15;73.3;5;40;45;33;19;5;5;25;12
1870;CHA @ WAS;11/20/2022;L;48;102;39;100;39.0;8;32;25.0;16;23;69.6;15;36;51;19;13;5;5;18;-4
1871;HOU vs. GSW;11/20/2022;L;48;120;41;90;45.6;15;45;33.3;23;27;85.2;12;33;45;24;14;13;1;12;-7
1872;TOR @ ATL;11/19/2022;L;53;122;48;108;44.4;8;37;21.6;18;22;81.8;17;34;51;27;14;11;6;25;-2
1873;ORL @ IND;11/19/2022;L;48;113;39;91;42.9;16;42;38.1;19;26;73.1;11;30;41;16;11;8;6;17;-1
1874;PHI vs. MIN;11/19/2022;L;48;109;34;71;47.9;14;32;43.8;27;32;84.4;4;35;39;21;22;10;1;24;-3
1875;POR vs. UTA;11/19/2022;L;48;113;39;83;47.0;13;42;31.0;22;27;81.5;10;33;43;27;18;11;8;22;-5
1876;IND vs. ORL;11/19/2022;W;48;114;41;90;45.6;18;46;39.1;14;19;73.7;12;30;42;27;15;5;6;18;1
1877;LAC vs. SAS;11/19/2022;W;48;119;44;81;54.3;21;40;52.5;10;19;52.6;7;28;35;32;13;9;1;20;22
1878;ATL vs. TOR;11/19/2022;W;53;124;46;92;50.0;7;25;28.0;25;32;78.1;11;39;50;23;15;5;5;20;2
1879;MIN @ PHI;11/19/2022;W;48;112;40;85;47.1;12;36;33.3;20;24;83.3;8;35;43;28;20;9;2;25;3
1880;SAS @ LAC;11/19/2022;L;48;97;36;87;41.4;7;26;26.9;18;21;85.7;15;28;43;22;15;4;2;13;-22
1881;UTA @ POR;11/19/2022;W;48;118;42;91;46.2;14;39;35.9;20;23;87.0;11;31;42;23;13;6;4;20;5
1882;DAL vs. DEN;11/18/2022;W;48;127;46;77;59.7;13;32;40.6;22;28;78.6;6;38;44;29;10;5;3;19;28
1883;CHA @ CLE;11/18/2022;L;58;122;44;110;40.0;14;44;31.8;20;24;83.3;17;36;53;24;16;11;6;33;-10
1884;MEM vs. OKC;11/18/2022;W;48;121;39;93;41.9;14;39;35.9;29;40;72.5;17;40;57;26;11;4;7;13;11
1885;CLE vs. CHA;11/18/2022;W;58;132;49;92;53.3;8;28;28.6;26;32;81.3;7;43;50;25;20;8;8;25;10
1886;GSW vs. NYK;11/18/2022;W;48;111;41;91;45.1;18;50;36.0;11;20;55.0;12;39;51;32;18;8;3;26;10
1887;OKC @ MEM;11/18/2022;L;48;110;45;96;46.9;11;34;32.4;9;11;81.8;8;35;43;34;11;5;9;28;-11
1888;NYK @ GSW;11/18/2022;L;48;101;30;87;34.5;9;34;26.5;32;34;94.1;13;32;45;16;16;8;7;16;-10
1889;DET @ LAL;11/18/2022;L;48;121;43;92;46.7;11;34;32.4;24;32;75.0;10;27;37;27;11;9;4;30;-7
1890;PHI vs. MIL;11/18/2022;W;48;110;40;78;51.3;13;28;46.4;17;26;65.4;6;35;41;28;18;5;5;18;8
1891;PHX @ UTA;11/18/2022;L;48;133;49;94;52.1;9;30;30.0;26;28;92.9;12;30;42;29;14;7;6;25;-1
1892;CHI vs. ORL;11/18/2022;L;48;107;41;89;46.1;5;21;23.8;20;25;80.0;13;33;46;27;11;6;6;19;-1
1893;MIA @ WAS;11/18/2022;L;53;106;35;98;35.7;11;43;25.6;25;32;78.1;10;43;53;23;10;6;4;15;-1
1894;IND @ HOU;11/18/2022;W;48;99;33;82;40.2;12;41;29.3;21;27;77.8;12;33;45;25;15;8;10;26;8
1895;BOS @ NOP;11/18/2022;W;48;117;41;85;48.2;20;46;43.5;15;17;88.2;11;35;46;28;17;6;3;13;8
1896;UTA vs. PHX;11/18/2022;W;48;134;51;91;56.0;16;31;51.6;16;24;66.7;11;25;36;32;17;6;3;28;1
1897;ORL @ CHI;11/18/2022;W;48;108;38;77;49.4;12;28;42.9;20;22;90.9;6;35;41;25;16;4;7;25;1
1898;DEN @ DAL;11/18/2022;L;48;99;38;90;42.2;10;30;33.3;13;18;72.2;13;23;36;24;13;4;1;20;-28
1899;LAL vs. DET;11/18/2022;W;48;128;43;78;55.1;7;20;35.0;35;40;87.5;7;37;44;29;16;2;7;24;7
1900;WAS vs. MIA;11/18/2022;W;53;107;41;96;42.7;15;46;32.6;10;14;71.4;8;46;54;33;16;6;4;25;1
1901;NOP vs. BOS;11/18/2022;L;48;109;43;87;49.4;13;35;37.1;10;13;76.9;7;30;37;24;13;13;3;18;-8
1902;HOU vs. IND;11/18/2022;L;48;91;29;86;33.7;6;28;21.4;27;32;84.4;14;35;49;15;17;8;4;24;-8
1903;MIL @ PHI;11/18/2022;L;48;102;41;90;45.6;12;36;33.3;8;21;38.1;8;34;42;22;13;8;7;18;-8
1904;LAC vs. DET;11/17/2022;W;48;96;33;81;40.7;11;30;36.7;19;24;79.2;10;41;51;17;18;1;1;21;5
1905;BKN @ POR;11/17/2022;W;48;109;40;79;50.6;11;29;37.9;18;23;78.3;5;42;47;32;17;4;5;24;2
1906;SAC vs. SAS;11/17/2022;W;48;130;48;83;57.8;12;30;40.0;22;24;91.7;6;31;37;28;12;7;1;15;18
1907;DET @ LAC;11/17/2022;L;48;91;33;88;37.5;6;31;19.4;19;24;79.2;10;33;43;15;13;9;7;26;-5
1908;POR vs. BKN;11/17/2022;L;48;107;36;93;38.7;13;36;36.1;22;27;81.5;8;31;39;22;10;9;5;22;-2
1909;SAS @ SAC;11/17/2022;L;48;112;46;84;54.8;11;26;42.3;9;12;75.0;7;25;32;29;19;8;6;22;-18
1910;PHX vs. GSW;11/16/2022;W;48;130;44;86;51.2;21;40;52.5;21;25;84.0;8;39;47;33;16;5;8;22;11
1911;MIN @ ORL;11/16/2022;W;48;126;46;88;52.3;12;36;33.3;22;28;78.6;8;32;40;28;11;15;6;15;18
1912;BOS @ ATL;11/16/2022;W;48;126;48;88;54.5;21;46;45.7;9;10;90.0;6;43;49;29;15;4;8;20;25
1913;IND @ CHA;11/16/2022;W;48;125;44;82;53.7;11;28;39.3;26;31;83.9;7;27;34;27;14;11;9;18;12
1914;NOP vs. CHI;11/16/2022;W;48;124;43;85;50.6;17;33;51.5;21;24;87.5;12;34;46;30;15;4;6;18;14
1915;CHA vs. IND;11/16/2022;L;48;113;43;94;45.7;12;33;36.4;15;18;83.3;14;30;44;29;18;8;4;23;-12
1916;NYK @ DEN;11/16/2022;W;48;106;37;84;44.0;8;34;23.5;24;31;77.4;6;34;40;24;8;12;5;18;3
1917;DEN vs. NYK;11/16/2022;L;48;103;36;82;43.9;14;38;36.8;17;20;85.0;8;34;42;18;15;3;5;25;-3
1918;HOU @ DAL;11/16/2022;W;48;101;35;75;46.7;10;22;45.5;21;24;87.5;9;47;56;21;23;1;19;19;9
1919;ATL vs. BOS;11/16/2022;L;48;101;42;101;41.6;7;32;21.9;10;13;76.9;14;31;45;21;9;5;5;11;-25
1920;CLE @ MIL;11/16/2022;L;48;98;36;84;42.9;12;28;42.9;14;17;82.4;6;28;34;22;8;7;7;18;-15
1921;ORL vs. MIN;11/16/2022;L;48;108;42;93;45.2;9;35;25.7;15;17;88.2;12;35;47;21;16;6;5;26;-18
1922;CHI @ NOP;11/16/2022;L;48;110;44;89;49.4;11;32;34.4;11;17;64.7;7;30;37;25;12;2;1;18;-14
1923;MIL vs. CLE;11/16/2022;W;48;113;41;86;47.7;16;39;41.0;15;27;55.6;13;39;52;26;14;5;6;16;15
1924;TOR vs. MIA;11/16/2022;W;48;112;44;86;51.2;7;26;26.9;17;22;77.3;16;26;42;23;14;5;3;23;8
1925;WAS vs. OKC;11/16/2022;L;48;120;44;86;51.2;17;34;50.0;15;17;88.2;11;30;41;32;19;8;5;20;-1
1926;OKC @ WAS;11/16/2022;W;48;121;44;81;54.3;16;31;51.6;17;26;65.4;9;28;37;24;15;4;7;22;1
1927;DAL vs. HOU;11/16/2022;L;48;92;31;102;30.4;12;55;21.8;18;19;94.7;13;25;38;21;6;9;2;19;-9
1928;MIA @ TOR;11/16/2022;L;48;104;36;66;54.5;13;35;37.1;19;22;86.4;4;19;23;19;23;5;4;20;-8
1929;GSW @ PHX;11/16/2022;L;48;119;42;92;45.7;18;42;42.9;17;17;100;6;34;40;30;17;5;3;23;-11
1930;MEM @ NOP;11/15/2022;L;48;102;38;92;41.3;9;35;25.7;17;25;68.0;14;37;51;16;11;6;8;17;-11
1931;NOP vs. MEM;11/15/2022;W;48;113;43;91;47.3;18;38;47.4;9;12;75.0;7;36;43;31;10;2;8;20;11
1932;BKN @ SAC;11/15/2022;L;48;121;40;81;49.4;11;28;39.3;30;33;90.9;3;26;29;25;17;5;3;18;-32
1933;DAL vs. LAC;11/15/2022;W;48;103;35;80;43.8;17;43;39.5;16;24;66.7;8;26;34;20;12;12;1;20;2
1934;SAC vs. BKN;11/15/2022;W;48;153;56;94;59.6;20;41;48.8;21;25;84.0;9;34;43;39;17;9;4;24;32
1935;NYK @ UTA;11/15/2022;W;48;118;44;93;47.3;11;32;34.4;19;25;76.0;13;30;43;26;14;10;3;25;7
1936;POR vs. SAS;11/15/2022;W;48;117;41;79;51.9;15;32;46.9;20;26;76.9;9;30;39;22;17;6;3;17;7
1937;SAS @ POR;11/15/2022;L;48;110;44;85;51.8;9;29;31.0;13;17;76.5;11;27;38;34;19;7;5;25;-7
1938;UTA vs. NYK;11/15/2022;L;48;111;36;83;43.4;14;43;32.6;25;30;83.3;15;34;49;29;21;7;5;22;-7
1939;LAC @ DAL;11/15/2022;L;48;101;34;64;53.1;12;28;42.9;21;26;80.8;3;37;40;23;21;8;2;27;-2
1940;OKC @ BOS;11/14/2022;L;48;122;47;98;48.0;11;30;36.7;17;21;81.0;10;41;51;21;20;4;6;21;-4
1941;DET vs. TOR;11/14/2022;L;48;111;35;77;45.5;10;31;32.3;31;43;72.1;11;28;39;23;19;8;2;23;-4
1942;ATL @ MIL;11/14/2022;W;48;121;44;92;47.8;7;20;35.0;26;30;86.7;13;32;45;23;9;4;4;23;15
1943;GSW vs. SAS;11/14/2022;W;48;132;47;88;53.4;23;45;51.1;15;16;93.8;5;35;40;35;13;9;3;17;37
1944;PHX @ MIA;11/14/2022;L;48;112;48;99;48.5;14;36;38.9;2;4;50.0;20;25;45;22;14;9;4;22;-1
1945;CHA @ ORL;11/14/2022;W;48;112;42;88;47.7;7;35;20.0;21;24;87.5;14;23;37;22;13;15;7;23;7
1946;MIA vs. PHX;11/14/2022;W;48;113;38;83;45.8;15;33;45.5;22;25;88.0;17;25;42;23;15;6;4;10;1
1947;MIL vs. ATL;11/14/2022;L;48;106;34;82;41.5;6;29;20.7;32;41;78.0;11;35;46;21;17;4;3;26;-15
1948;LAC @ HOU;11/14/2022;W;48;122;41;81;50.6;14;38;36.8;26;33;78.8;9;35;44;25;17;6;4;23;16
1949;HOU vs. LAC;11/14/2022;L;48;106;39;86;45.3;9;30;30.0;19;31;61.3;10;30;40;20;14;11;3;22;-16
1950;BOS vs. OKC;11/14/2022;W;48;126;46;96;47.9;10;37;27.0;24;29;82.8;10;36;46;25;14;15;7;20;4
1951;TOR @ DET;11/14/2022;W;48;115;40;82;48.8;8;27;29.6;27;28;96.4;12;30;42;27;17;7;8;27;4
1952;SAS @ GSW;11/14/2022;L;48;95;36;100;36.0;10;40;25.0;13;19;68.4;22;31;53;18;19;6;6;17;-37
1953;ORL vs. CHA;11/14/2022;L;48;105;36;88;40.9;14;36;38.9;19;23;82.6;22;26;48;23;22;3;7;18;-7
1954;WAS vs. MEM;11/13/2022;W;48;102;36;86;41.9;19;40;47.5;11;21;52.4;9;38;47;26;15;9;6;15;10
1955;BKN @ LAL;11/13/2022;L;48;103;36;80;45.0;7;27;25.9;24;31;77.4;8;33;41;22;13;5;5;17;-13
1956;OKC @ NYK;11/13/2022;W;48;145;55;88;62.5;17;31;54.8;18;20;90.0;4;34;38;31;19;9;5;27;10
1957;NYK vs. OKC;11/13/2022;L;48;135;48;97;49.5;10;31;32.3;29;33;87.9;13;22;35;25;13;13;2;18;-10
1958;UTA @ PHI;11/13/2022;L;48;98;37;94;39.4;11;37;29.7;13;23;56.5;18;32;50;23;18;3;4;17;-7
1959;DEN @ CHI;11/13/2022;W;48;126;48;80;60.0;13;27;48.1;17;21;81.0;5;31;36;33;16;11;3;17;23
1960;GSW @ SAC;11/13/2022;L;48;115;42;90;46.7;16;47;34.0;15;16;93.8;8;35;43;27;18;5;5;20;-7
1961;LAL vs. BKN;11/13/2022;W;48;116;44;91;48.4;11;27;40.7;17;20;85.0;12;33;45;25;9;3;2;22;13
1962;PHI vs. UTA;11/13/2022;W;48;105;40;83;48.2;4;23;17.4;21;26;80.8;8;31;39;21;12;12;14;19;7
1963;CLE vs. MIN;11/13/2022;L;48;124;40;89;44.9;17;34;50.0;27;39;69.2;16;24;40;22;10;6;1;22;-5
1964;MEM @ WAS;11/13/2022;L;48;92;38;96;39.6;9;28;32.1;7;10;70.0;14;37;51;21;17;7;6;24;-10
1965;MIN @ CLE;11/13/2022;W;48;129;46;82;56.1;12;24;50.0;25;34;73.5;11;36;47;30;13;5;4;30;5
1966;CHI vs. DEN;11/13/2022;L;48;103;40;81;49.4;6;22;27.3;17;21;81.0;8;28;36;24;19;9;4;19;-23
1967;SAC vs. GSW;11/13/2022;W;48;122;47;91;51.6;16;37;43.2;12;19;63.2;9;36;45;31;16;8;2;17;7
1968;DAL vs. POR;11/12/2022;W;48;117;41;81;50.6;14;43;32.6;21;26;80.8;7;33;40;26;11;8;2;27;5
1969;TOR @ IND;11/12/2022;L;48;104;37;94;39.4;7;35;20.0;23;29;79.3;16;27;43;14;12;12;8;18;-14
1970;UTA @ WAS;11/12/2022;L;48;112;44;94;46.8;14;40;35.0;10;11;90.9;7;35;42;33;12;4;3;17;-9
1971;CHA @ MIA;11/12/2022;L;48;115;46;90;51.1;9;31;29.0;14;16;87.5;4;33;37;25;12;4;3;21;-17
1972;POR @ DAL;11/12/2022;L;48;112;36;80;45.0;13;31;41.9;27;35;77.1;12;32;44;20;12;6;2;21;-5
1973;BOS @ DET;11/12/2022;W;48;117;39;91;42.9;18;48;37.5;21;24;87.5;9;33;42;27;7;6;4;17;9
1974;WAS vs. UTA;11/12/2022;W;48;121;44;88;50.0;16;36;44.4;17;20;85.0;6;40;46;27;9;6;8;14;9
1975;HOU @ NOP;11/12/2022;L;48;106;40;79;50.6;12;36;33.3;14;18;77.8;10;33;43;24;26;7;4;23;-13
1976;BKN @ LAC;11/12/2022;W;48;110;40;83;48.2;16;35;45.7;14;21;66.7;6;35;41;27;13;9;6;18;15
1977;MIA vs. CHA;11/12/2022;W;48;132;49;93;52.7;16;41;39.0;18;21;85.7;9;37;46;32;12;7;5;19;17
1978;DET vs. BOS;11/12/2022;L;48;108;37;89;41.6;16;38;42.1;18;21;85.7;11;39;50;23;14;4;3;23;-9
1979;LAC vs. BKN;11/12/2022;L;48;95;34;85;40.0;11;31;35.5;16;20;80.0;10;36;46;22;18;4;6;17;-15
1980;ATL @ PHI;11/12/2022;L;48;109;40;89;44.9;6;24;25.0;23;27;85.2;12;31;43;20;19;4;2;19;-12
